Publication ID,Project ID,Is Active,Sort Order,Title,Authors,Authors Short,Year,Publication Type,Department,Journal or Source,Citation Text,DOI,Abstract,Featured Label,Full Text URL,Project Display Override,Internal Notes,Program Type
pub_melanocortin_2024_signal_review,project_melanocortin_signaling,Yes,10,Melanocortin Receptor Signaling in Health and Disease,"Wachira J., Patel R., Gomez S.",Wachira J. et al.,2024,Journal Article,Biology,Journal of Molecular Signaling,"Wachira J., Patel R., Gomez S. (2024). Melanocortin Receptor Signaling in Health and Disease. Journal of Molecular Signaling.",10.1000/jms.2024.001,Review of melanocortin receptor signaling pathways with emphasis on metabolic and inflammatory mechanisms.,Featured,https://example.org/publications/melanocortin-review,,,
pub_melanocortin_2025_rna_link,project_melanocortin_signaling,Yes,20,RNA-Protein Interactions in Melanocortin Pathway Regulation,"Wachira J., Lin D.",Wachira J. and Lin D.,2025,Journal Article,Biology,RNA Biology,"Wachira J., Lin D. (2025). RNA-Protein Interactions in Melanocortin Pathway Regulation. RNA Biology.",10.1000/rnabio.2025.014,Study of RNA-protein interactions relevant to signaling regulation in melanocortin pathways.,,https://example.org/publications/rna-pathway-regulation,,,
pub_urban_health_2024_intervention,project_urban_health_interventions,Yes,10,Community-Based Health Interventions in Urban Settings,"Sheikhattari P., Lewis M., Jones A.",Sheikhattari P. et al.,2024,Journal Article,Public Health,Urban Health Review,"Sheikhattari P., Lewis M., Jones A. (2024). Community-Based Health Interventions in Urban Settings. Urban Health Review.",10.1000/uhr.2024.008,Article describing culturally appropriate tobacco control interventions in urban community settings.,Open Access,https://example.org/publications/urban-interventions,,,
pub_urban_health_2025_report,project_urban_health_interventions,No,20,Urban Community Intervention Outcomes Report,"Sheikhattari P., Morgan RCMI Team",Sheikhattari P. et al.,2025,Report,Public Health,Morgan State University,"Sheikhattari P., Morgan RCMI Team (2025). Urban Community Intervention Outcomes Report. Morgan State University.",,Internal outcome report prepared for grant stakeholders.,,https://example.org/publications/urban-report,,,
rcmi_pub_secondary_analysis_heat_and_s_2024,,Yes,100,Secondary analysis: heat and self-report pain sensitivity associate with biological sex and racialized sociocultural group but may not be mediated by anxiety or pain …,Timothy J. Meeker; Ingrid Tulloch,Timothy J. Meeker et al.,2024,Journal Article,,,,,,,,,Pilot PI: ingrid.tulloch@morgan.edu,"GWW, PPP"
rcmi_pub_a_combination_of_physics_infor_2023,,Yes,101,A Combination of Physics-Informed Neural Networks with the Fixed-Stress Splitting Iteration for Solving Biot's Model [E],Mingchao Cai,Mingchao Cai,2023,Journal Article,Mathematics,,,,,,,,Pilot PI: mingchao.cai@morgan.edu,"GWW, SS, PPP"
rcmi_pub_an_iterative_decoupled_algorit_2023,,Yes,102,An iterative decoupled algorithm with unconditional stability for Biot model [E],Huipeng Gu; Mingchao Cai,Huipeng Gu et al.,2023,Journal Article,,,,,,,,,Pilot PI: mingchao.cai@morgan.edu,"GWW, SS, PPP"
rcmi_pub_small_cbpr_grants_program_an_2023,,Yes,103,Small CBPR Grants Program: An Innovative Model to Build Sustainable Academic-Community Partnerships [E],Payam Sheikhattari; Jummai Apata; Gillian B. Silver; Shiva Mehravaran; Emma Shaffer,Payam Sheikhattari et al.,2023,Journal Article,,,,,,,,,Pilot PI: shiva.mehravaran@morgan.edu,"GWW, PPP"
rcmi_pub_some_optimally_convergent_algo_2023,,Yes,104,Some Optimally Convergent Algorithms for Decoupling the Computation of Biot’s Model [E],Mingchao Cai,Mingchao Cai,2023,Journal Article,,,,,,,,,Pilot PI: mingchao.cai@morgan.edu,"GWW, SS, PPP"
rcmi_pub_a_cross_sectional_time_course_2022,,Yes,105,"A Cross-Sectional Time Course of COVID-19 Related Worry, Perceived Stress, and General Anxiety in the Context of Post-Traumatic Stress Disorder-like Symptomatology [E]",Timothy Meeker; Ingrid Tulloch,Timothy Meeker et al.,2022,Journal Article,Neurosurgery,,,,,,,,Pilot PI: ingrid.tulloch@morgan.edu,"GWW, PPP"
rcmi_pub_a_mixed_virtual_element_method_2022,,Yes,106,A mixed virtual element method for Biot's consolidation model [E],Feng Wang; Mingchao Cai,Feng Wang et al.,2022,Journal Article,,,,,,,,,Pilot PI: mingchao.cai@morgan.edu,"GWW, SS, PPP"
