Row Type,Category ID,Is Active,Sort Order,Icon,Title,Note,Open By Default,Start Number,Item ID,Description,Sub Items
category,flow-cytometry,Yes,10,🧬,Flow Cytometry,,Yes,1,,,
item,flow-cytometry,Yes,10,,,,,,flow-cytometry-10,SONY SH800 cell sorter with the capacity to sort different cell sizes using microfluidics sorting chips. The sorter is equipped with 488nm/638nm/408nm lasers.,
item,flow-cytometry,Yes,20,,,,,,flow-cytometry-20,"Cytek Aurora Spectral analyzer equipped with 405nm, 488nm, and 640nm lasers. The spectral unmixing technology allows for the efficient separation of spectra from different fluorochromes. As set up, 38 color phenotyping can be accomplished from a single experiment. This system provides high sensitivity, flexible multicolor panel design, and robust resolution of complex and overlapping fluorochromes, supporting advanced applications such as deep immunophenotyping, rare-cell detection, and high-parameter flow cytometry experiments.",
category,genomics-genetics,Yes,20,🧪,Genomics/Genetics Analysis,,No,1,,,
item,genomics-genetics,Yes,10,,,,,,genomics-genetics-10,MiSeq® System integrated DNA and RNA sequencing system.,
item,genomics-genetics,Yes,20,,,,,,genomics-genetics-20,"QIAcuity Digital PCR System: quantification for mutation detection, copy number variation (CNV), gene expression studies, and gene-editing analysis",
item,genomics-genetics,Yes,30,,,,,,genomics-genetics-30,Bio-Rad CFX96 Touch Real-Time PCR Detection System: quantitative real-time PCR machine with direct-to-paper data output.,
item,genomics-genetics,Yes,40,,,,,,genomics-genetics-40,"QuantStudio™ 6 Flex: Real-Time PCR System, 96 or 384-well, with laptop.",
item,genomics-genetics,Yes,50,,,,,,genomics-genetics-50,"Nanovue Plus & Nanodrop spectrophotometers, 16-well Take3 plate for spectrophotometry on the H1 Synergy microplate reader, and a Qubit 4 Fluorometer.",
category,biological-assay,Yes,30,⚗️,Biological Assay Technologies,,No,1,,,
item,biological-assay,Yes,10,,,,,,biological-assay-10,"Bio-Tek Synergy H1MF hybrid multimode microplate reader with top and bottom fluorescence intensity, UV-visible absorbance, luminescence, fluorescence polarization, TRF & TR-FRET detection. Take3 plate available for spectrophotometry.",
item,biological-assay,Yes,20,,,,,,biological-assay-20,Luminex MAGPIX® System: A multiplexing unit with magnetic bead technology runs 50 different tests in a single reaction volume and reads 96-well-plate in 60 minutes.,
