Row Type,Project ID,Is Active,Sort Order,Title,Summary,Icon,Bullet 1,Bullet 2,Bullet 3,Bullet 4,Bullet 5,PI Faculty ID,PI Name,Department,Description,Tag 1,Tag 2,Tag 3,Tag 4,Project Status,Project URL,Funding Source,Grant Number,Start Date,End Date,Infrastructure Name,Primary Publication Label,Primary Publication URL,Internal Notes,Featured Research,Registry Label
project,ppp_promoting-a-sense-of-risk-to-preventing,1,,Promoting a Sense of Risk to Preventing Gambling Addiction in Youth,Promoting a Sense of Risk to Preventing Gambling Addiction in Youth,,,,,,,pilot_yu-cong,Dr. Yu Cong,Information Science and Systems,,,,,,,,,,,,,,,,,
project,ppp_how-does-a-mismatch-between-childhood-an,1,,How does a mismatch between childhood and school SES relate to Black young adults’ excess body weight?,How does a mismatch between childhood and school SES relate to Black young adults’ excess body weight?,,,,,,,pilot_marciea-mcmillian,Dr. Marciea McMillian,Teacher Education and Professional Development,,,,,,,,,,,,,,,,1,
project,ppp_data-driven-mathematical-assessment-of-t,1,,Data-driven mathematical assessment of the role of sterile insect technology (SIT) on the population abundance of malaria mosquitoes and disease,Data-driven mathematical assessment of the role of sterile insect technology (SIT) on the population abundance of malaria mosquitoes and disease,,,,,,,pilot_jemal-mohammed-awel,Dr. Jemal Mohammed-Awel,Mathematics,,,,,,,,,,,,,,,,,
project,ppp_brain-edema-simulation-by-using-a-multip,1,,Brain Edema Simulation by using a Multiple Network Poroelastic Model,Brain Edema Simulation by using a Multiple Network Poroelastic Model,,,,,,,pilot_mingchao-cai,Dr. Mingchao Cai,Mathematical Modeling,,,,,,,,,,,,,,,,1,
project,ppp_the-effect-of-weathered-micro-and-nanopl,1,,The effect of Weathered Micro and Nanoplastics on Heart: Implication of Environmental Pollution Inequity and Health Disparity,The effect of Weathered Micro and Nanoplastics on Heart: Implication of Environmental Pollution Inequity and Health Disparity,,,,,,,pilot_yuejin-li,Dr. YueJin Li,Biology / Medical Technology,,,,,,,,,,,,,,,,1,
project,ppp_child-fire-casualty-disparities-develop,1,,Child Fire Casualty Disparities: Development of Fire Cue Perception,Child Fire Casualty Disparities: Development of Fire Cue Perception,,,,,,,pilot_justin-bonny,Dr. Justin Bonny,Psychology,,,,,,,,,,,,,,,,,
project,ppp_microplastic-in-eastern-oyster-implicat,1,,Microplastic in Eastern Oyster: Implications to Human Exposure and Public Health,Microplastic in Eastern Oyster: Implications to Human Exposure and Public Health,,,,,,,pilot_chunlei-fan,Dr. Chunlei Fan,Environmental Health,,,,,,,,,,,,,,,,1,
project,ppp_stability-of-tear-microbiota-in-c57bl-6,1,,Stability of tear microbiota in C57BL/6 mice: an animal model for microbiome studies,Stability of tear microbiota in C57BL/6 mice: an animal model for microbiome studies,,,,,,,pilot_shiva-mehravaran,Dr. Shiva Mehravaran,Bioinformatics,,,,,,,,,,,,,,,,1,
project,ppp_estimating-toxic-pfas-concentrations-in,1,,Estimating Toxic PFAS Concentrations in Seafood Spatially in the Chesapeake Bay,Estimating Toxic PFAS Concentrations in Seafood Spatially in the Chesapeake Bay,,,,,,,pilot_thomas-ihde,Dr. Thomas Ihde,Environmental Health,,,,,,,,,,,,,,,,,
project,ppp_assessing-causal-effects-of-racial-discr,1,,Assessing Causal Effects of Racial Discrimination on Inflammation,Assessing Causal Effects of Racial Discrimination on Inflammation,,,,,,,pilot_ingrid-k-tulloch,Dr. Ingrid K. Tulloch,Psychology,,,,,,,,,,,,,,,,1,
project,ppp_workplace-bullying-stress-and-increase,1,,"Workplace Bullying, stress, and increased substance use for URM women medical school faculty","Workplace Bullying, stress, and increased substance use for URM women medical school faculty",,,,,,,pilot_leah-hollis,Dr. Leah Hollis,Behavioral Health,,,,,,,,,,,,,,,,,
project,ppp_the-role-of-nutrition-and-food-insecurit,1,,The Role of Nutrition and Food Insecurity in Community College Student Success for African American/Black women,The Role of Nutrition and Food Insecurity in Community College Student Success for African American/Black women,,,,,,,pilot_robin-spaid,Dr. Robin Spaid,Health Policy & Education,,,,,,,,,,,,,,,,,
project,rcmi_project3_meeker-cipn-tdcs,1,,"Neural and Immune Correlates of Painful Chemotherapy-Induced Neuropathy, Feasibility and Preliminary Efficacy of a Motor Cortex Non-Invasive Brain Stimulation Intervention","A randomized controlled trial testing non-invasive brain stimulation (tDCS) as a treatment for painful chemotherapy-induced neuropathy, examining differences in pain response and brain function between Non-Hispanic Black and Non-Hispanic White patients.",,,,,,,project_timothy_meeker,Dr. Timothy Meeker,Department of Biology,"Over half of cancer patients receiving common chemotherapy treatments experience painful nerve damage called chemotherapy-induced peripheral neuropathy (CIPN). Non-Hispanic Black patients are more likely to suffer from this condition and more often need to reduce their chemotherapy doses compared to Non-Hispanic White patients. This RCMI@Morgan Research Project (Project 3) is conducting a double-blind, randomized controlled trial testing transcranial direct current stimulation (tDCS) of the motor cortex — a safe, at-home, non-invasive brain stimulation intervention — as a treatment for painful CIPN. The study aims to (1) determine the feasibility and efficacy of active tDCS as an analgesic and antihyperalgesic intervention, (2) identify structural and functional brain correlates of painful CIPN in Non-Hispanic Black and Non-Hispanic White patients, and (3) examine inflammatory mediators linked to CIPN severity and brain function, in support of RCMI@Morgan's mission to address urban health disparities in Baltimore.",Chemotherapy-Induced Neuropathy,Non-Invasive Brain Stimulation,Health Disparities,Clinical Trial,Current,https://clinicaltrials.gov/study/NCT06522685#participation-criteria,NIH National Institute on Minority Health and Health Disparities (NIMHD) — RCMI@Morgan Center Grant,U54MD013376 (Project 3),2024-08,2029-02,,"Meeker et al., “Secondary analysis: heat and self-report pain sensitivity associate with biological sex and racialized sociocultural group but may not be mediated by anxiety or pain catastrophizing.” Pain Reports 9(1):e1133 (2024)",https://doi.org/10.1097/PR9.0000000000001133,"Sourced 2026-07-10 from rcmi-cc.org spotlight, NIH RePORTER (5U54MD013376-07), clinicaltrials.gov NCT06522685 (registered 2024-07-26; not yet recruiting as of last update 2025-02-06), connect.rtrn.net profile 9256095.",,Neural and Immune Correlates of CIPN and Possible Analgesic Effect of Non-invasive Motor Cortex Stimulation (NIBS4CIPN)
